                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.5201,                 1.1884,                 1.4759,                0.89666,                0.62141,                0.67041,                0.38207,                 1.5166,                 1.0844,                 1.5264,              0.0012212,              0.0012212,              0.0012212
                    120,                 1.4709,                  1.133,                 1.5199,                0.86884,                0.57143,                0.65584,                0.35705,                 1.5241,                 1.0374,                 1.5173,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.5356,                 1.1062,                 1.6378,                      1,                0.55587,                0.64039,                0.35127,                 1.5619,                 0.9829,                 1.5347,               0.001208,               0.001208,               0.001208
                    122,                 1.5081,                 1.1611,                 1.5404,                0.99249,                0.57143,                0.64046,                 0.3373,                 1.6529,                0.99722,                 1.5671,              0.0012014,              0.0012014,              0.0012014
                    123,                 1.5527,                 1.0687,                 1.5815,                      1,                0.49284,                0.60062,                0.33639,                 1.6522,                0.99046,                 1.5583,              0.0011948,              0.0011948,              0.0011948
                    124,                 1.4746,                 1.1208,                 1.5099,                0.88078,                0.52974,                0.62593,                0.34165,                 1.5691,                0.97229,                 1.5089,              0.0011882,              0.0011882,              0.0011882
                    125,                 1.5577,                 1.1287,                  1.498,                0.81137,                0.61608,                0.62851,                0.34096,                 1.5348,                0.97439,                 1.4737,              0.0011816,              0.0011816,              0.0011816
                    126,                 1.4892,                 1.1706,                 1.4821,                0.86433,                0.57143,                0.61843,                0.32726,                 1.5221,                0.96396,                  1.488,               0.001175,               0.001175,               0.001175
                    127,                 1.5343,                 1.2147,                 1.5926,                0.95203,                0.57143,                0.62098,                0.35892,                 1.4893,                 1.0411,                 1.4923,              0.0011684,              0.0011684,              0.0011684
                    128,                 1.5867,                  1.195,                 1.6221,                0.88643,                0.57143,                0.66105,                0.35574,                 1.5634,                 1.0754,                 1.5408,              0.0011618,              0.0011618,              0.0011618
                    129,                 1.5282,                 1.1053,                 1.5008,                0.79931,                0.56922,                0.62524,                0.36742,                 1.4895,                0.97031,                 1.5237,              0.0011552,              0.0011552,              0.0011552
                    130,                 1.5396,                 1.1091,                 1.4833,                 0.7444,                0.62525,                0.63452,                 0.3831,                 1.4844,                0.95987,                 1.4841,              0.0011486,              0.0011486,              0.0011486
                    131,                 1.5681,                  1.103,                 1.5788,                0.89778,                0.62858,                0.64735,                 0.3845,                  1.513,                 1.0258,                 1.4611,               0.001142,               0.001142,               0.001142
                    132,                  1.492,                   1.16,                 1.5642,                      1,                0.57103,                0.69258,                0.36722,                  1.595,                0.95243,                  1.501,              0.0011354,              0.0011354,              0.0011354
                    133,                 1.4638,                 1.1712,                 1.5557,                0.76006,                0.57143,                0.61539,                0.32556,                 1.8468,                 1.0438,                 1.6659,              0.0011288,              0.0011288,              0.0011288
                    134,                 1.5832,                 1.1956,                 1.6035,                0.75002,                0.57143,                0.62888,                0.32512,                 1.8447,                 1.0215,                 1.6706,              0.0011222,              0.0011222,              0.0011222
                    135,                 1.5819,                 1.1533,                 1.5949,                0.68344,                0.57143,                0.60951,                 0.3539,                 1.7462,                0.96596,                 1.6269,              0.0011156,              0.0011156,              0.0011156
                    136,                 1.4816,                 1.1041,                 1.4927,                0.79875,                0.64286,                0.67776,                 0.3765,                 1.7278,                0.95373,                 1.5973,               0.001109,               0.001109,               0.001109
                    137,                 1.4621,                 1.0865,                 1.4935,                0.96991,                0.64286,                0.71313,                0.35741,                 1.6825,                0.92058,                 1.5507,              0.0011024,              0.0011024,              0.0011024
                    138,                 1.5836,                  1.152,                 1.4992,                0.95703,                0.64286,                0.69082,                0.34998,                 1.6632,                0.94247,                 1.5383,              0.0010958,              0.0010958,              0.0010958
                    139,                 1.5047,                 1.1172,                 1.5157,                0.98034,                0.57143,                0.70697,                0.34634,                 1.6235,                0.92161,                 1.5566,              0.0010892,              0.0010892,              0.0010892
                    140,                 1.5951,                 1.1283,                 1.5779,                0.96801,                0.57143,                0.67933,                0.34538,                 1.7006,                0.87543,                 1.5951,              0.0010826,              0.0010826,              0.0010826
                    141,                 1.3856,                 1.0426,                  1.456,                0.87214,                0.57143,                0.62567,                0.29402,                 1.8708,                 1.0271,                 1.6663,               0.001076,               0.001076,               0.001076
                    142,                 1.4743,                 1.0166,                 1.4337,                0.76963,                    0.5,                0.56461,                0.29704,                  1.822,                 1.1243,                 1.6126,              0.0010694,              0.0010694,              0.0010694
                    143,                 1.4995,                 1.1364,                 1.5389,                0.87243,                0.48972,                0.58064,                0.29436,                 1.6682,                 1.0694,                 1.5675,              0.0010628,              0.0010628,              0.0010628
                    144,                 1.5548,                 1.0808,                 1.5371,                0.71024,                0.64286,                0.60465,                0.32219,                 1.6732,                 1.0393,                 1.5303,              0.0010562,              0.0010562,              0.0010562
                    145,                 1.4408,                 1.0349,                 1.4634,                0.80095,                0.64286,                0.60072,                0.29337,                 1.6512,                0.94796,                 1.5477,              0.0010496,              0.0010496,              0.0010496
                    146,                 1.3684,                0.99253,                 1.4205,                0.90625,                0.69199,                0.71242,                0.32967,                 1.6335,                 0.8877,                 1.5387,               0.001043,               0.001043,               0.001043
                    147,                 1.4407,                  1.022,                 1.4823,                0.88073,                0.64286,                0.68195,                0.33738,                 1.6375,                0.84395,                 1.5464,              0.0010364,              0.0010364,              0.0010364
                    148,                 1.4755,                 1.1599,                 1.5429,                0.83301,                0.71429,                0.70188,                0.34078,                 1.7009,                0.86248,                 1.5858,              0.0010298,              0.0010298,              0.0010298
                    149,                 1.4929,                 1.0937,                  1.578,                0.81328,                0.62358,                0.66755,                0.36307,                 1.5996,                0.89382,                  1.534,              0.0010232,              0.0010232,              0.0010232
                    150,                  1.501,                 1.0787,                 1.4935,                0.85714,                0.57143,                0.65225,                 0.3674,                 1.5581,                0.97325,                 1.4974,              0.0010166,              0.0010166,              0.0010166
